## Order: 5
## Bins: 10
## Minimum Radius = 2.00e+01
## Maximum Radius = 1.60e+02
## Format: Row 1 = radial bin 1, Row 2 = radial bin 2, Rows 3+ = zeta_ell^ab
## Column 1 specifies the angular multipole
 	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 1	 1	 1	 1	 1	 1	 1	 2	 2	 2	 2	 2	 2	 2	 3	 3	 3	 3	 3	 3	 4	 4	 4	 4	 4	 5	 5	 5	 5	 6	 6	 6	 7	 7	 8	 
	 1	 2	 3	 4	 5	 6	 7	 8	 9	 2	 3	 4	 5	 6	 7	 8	 9	 3	 4	 5	 6	 7	 8	 9	 4	 5	 6	 7	 8	 9	 5	 6	 7	 8	 9	 6	 7	 8	 9	 7	 8	 9	 8	 9	 9	
0	1.15341836e-01	4.75821720e-02	2.28954984e-02	1.35719414e-02	1.29654472e-02	1.07579961e-02	5.40902787e-03	2.15571006e-03	-1.37955876e-03	1.15063619e-02	4.95839194e-03	2.10215000e-03	3.98614919e-03	1.94950201e-03	1.18697807e-03	1.76981336e-03	1.44152582e-03	-4.20707960e-04	1.84060762e-03	3.67584193e-03	1.99187066e-03	1.79725605e-03	1.98586285e-03	2.57827611e-03	-6.33458134e-04	1.20200615e-03	-2.46501934e-06	3.86364850e-04	1.45523381e-03	1.84913623e-03	4.88376186e-04	-3.05055050e-04	3.79753374e-04	1.16990282e-03	1.45139414e-03	1.00405668e-03	4.83551379e-04	1.01300937e-03	1.11883684e-03	-2.44990297e-04	3.68263534e-04	6.70470076e-04	6.88130581e-04	5.62891435e-04	7.16987267e-04	
1	-4.51624836e-02	-1.65888508e-02	-5.95842451e-03	-4.11603327e-03	-2.82982045e-03	9.81309505e-05	-1.62462078e-03	-2.32174739e-03	1.24752676e-04	-3.50954906e-03	-2.46694501e-03	-3.57422092e-03	-1.78255950e-03	1.83759226e-03	1.96322031e-03	-2.34977918e-04	-1.23617583e-03	1.81973767e-04	-1.86613613e-03	-1.94582224e-03	1.35771522e-03	1.28474964e-03	-1.20608253e-04	-9.54055472e-04	-1.21752473e-03	-2.54425310e-03	3.48694428e-04	1.44547089e-03	1.99543253e-04	-3.77034190e-04	-2.50112874e-03	-3.11695936e-04	6.50386752e-04	-2.96813218e-04	-3.20512005e-04	-3.18557194e-06	3.57060182e-04	-1.83459725e-04	-4.34012930e-04	4.08102349e-04	-7.95865281e-04	-1.00178787e-03	-7.69876763e-04	-1.23749845e-03	-1.29977774e-03	
2	1.71803106e-01	8.45263095e-02	4.21788849e-02	2.61372249e-02	1.21054405e-02	9.44770918e-03	6.47798019e-03	8.16265373e-03	5.52286934e-03	4.51397224e-02	2.07420441e-02	1.21919128e-02	7.21852184e-03	5.85556079e-03	4.12411722e-03	3.70487667e-03	1.37180587e-03	9.73090599e-03	6.55591679e-03	4.40564629e-03	2.60595048e-03	1.78064450e-03	1.23075265e-03	-6.27178925e-05	3.70163080e-03	1.80496808e-03	4.67614912e-04	2.56543637e-04	-6.72686955e-04	-1.06312308e-03	6.67535442e-04	-2.49225051e-04	-5.35745808e-04	-9.95750216e-04	-1.52468325e-03	1.27336967e-03	4.63210145e-04	1.64787231e-04	-4.55958505e-04	6.77922288e-04	4.64065556e-04	3.36998006e-04	3.01821154e-05	-1.11563853e-04	-4.52066918e-04	
3	-1.20010682e-01	-4.45886250e-02	-2.16303869e-02	-1.27749775e-02	-5.40143399e-03	-1.67449568e-03	-1.93172737e-03	-1.24867419e-03	-5.93079344e-04	-3.60177591e-02	-1.55838414e-02	-9.20725160e-03	-4.32533080e-03	-9.93777826e-04	-1.21251609e-03	-6.76548737e-04	-2.59285024e-03	-1.22016431e-02	-5.74897991e-03	-3.06497537e-03	-2.10278268e-03	-1.13906199e-03	-9.66246288e-04	-1.42835951e-03	-2.80957042e-03	-2.32944876e-03	-1.56834450e-03	-1.09153999e-03	-4.38597479e-04	-1.76579005e-04	-1.32095836e-03	-1.34828424e-03	-8.18968120e-04	-2.26208664e-04	3.64142566e-04	-1.62422200e-03	-5.47082622e-04	-3.52085470e-04	1.71278747e-04	-5.73205032e-04	-5.49633729e-04	-4.27522304e-04	1.94165714e-04	1.91684638e-04	7.46032605e-04	
4	1.00724505e-01	2.99132065e-02	1.06553245e-02	3.98650160e-03	3.14777419e-03	1.60353285e-04	-2.95578399e-04	-3.20356398e-04	-2.13340125e-04	3.29045477e-02	1.34366702e-02	6.81468836e-03	3.55527276e-03	1.07603039e-04	2.13274769e-04	8.50884130e-06	1.27594359e-04	1.34564485e-02	7.02276571e-03	2.99474809e-03	2.65460096e-04	-1.03553177e-04	8.45767202e-05	-1.86116432e-04	4.49197799e-03	1.73103582e-03	7.62042722e-04	6.32475561e-04	2.52179551e-04	4.87684292e-04	1.52228846e-03	1.24382064e-03	9.79521754e-04	3.42290310e-04	-1.19406808e-04	1.95163253e-03	1.18212934e-03	4.42041512e-04	-4.57551274e-06	1.27586701e-03	8.23002270e-04	4.62498947e-04	-6.58103631e-05	-5.45511603e-05	-1.42881983e-04	
5	-8.00438259e-02	-1.72356424e-02	-6.00705928e-03	-1.51405986e-03	3.87673150e-04	-1.05044277e-03	1.46073995e-04	5.77714924e-04	8.52782446e-05	-2.86606787e-02	-9.92730959e-03	-2.98324022e-03	-2.01634839e-03	-1.18915901e-03	8.59697077e-04	-1.31438003e-04	-5.12391659e-04	-1.11141757e-02	-6.19685030e-03	-2.75197194e-03	-2.02661724e-03	-1.78161250e-04	-6.84216774e-05	2.85057074e-04	-5.59922199e-03	-2.73806813e-03	-9.98598523e-04	-4.34584361e-04	6.50729439e-05	1.87701140e-04	-2.18462780e-03	-1.14043844e-03	-8.03513787e-04	-9.07823270e-05	-4.26702706e-04	-1.03570746e-03	-5.95182619e-04	-6.94659756e-04	-2.67430850e-04	-6.55658050e-04	-6.29770742e-04	-5.77978307e-04	-1.13304245e-03	-6.84079468e-04	-1.82406277e-05	
