## Order: 5
## Bins: 10
## Minimum Radius = 2.00e+01
## Maximum Radius = 1.60e+02
## Format: Row 1 = radial bin 1, Row 2 = radial bin 2, Rows 3+ = zeta_ell^ab
## Column 1 specifies the angular multipole
 	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 1	 1	 1	 1	 1	 1	 1	 2	 2	 2	 2	 2	 2	 2	 3	 3	 3	 3	 3	 3	 4	 4	 4	 4	 4	 5	 5	 5	 5	 6	 6	 6	 7	 7	 8	 
	 1	 2	 3	 4	 5	 6	 7	 8	 9	 2	 3	 4	 5	 6	 7	 8	 9	 3	 4	 5	 6	 7	 8	 9	 4	 5	 6	 7	 8	 9	 5	 6	 7	 8	 9	 6	 7	 8	 9	 7	 8	 9	 8	 9	 9	
0	1.24844373e-01	4.92932665e-02	2.26520066e-02	1.46466631e-02	1.16174479e-02	5.92013730e-03	1.89408304e-03	-1.03564522e-03	-1.00611038e-03	1.36787463e-02	7.21326156e-03	5.54569037e-03	4.52380820e-03	1.91883560e-03	2.08541983e-03	6.88794401e-04	8.60904665e-04	-2.99567868e-03	-6.80582380e-04	-1.64047846e-04	3.99370440e-04	-6.70232188e-04	-9.29937669e-05	6.35499630e-04	-2.01283052e-03	5.94863575e-05	2.58496728e-04	-3.74938062e-04	-2.78018204e-04	1.63110800e-04	1.54897134e-03	1.08640331e-03	6.98568823e-05	4.04156288e-04	6.96052453e-04	7.26473580e-04	3.88465024e-04	6.31488587e-04	7.37948609e-04	-2.50967329e-04	2.78750150e-04	1.67364681e-04	-1.03991049e-04	-2.84137296e-04	-6.96328749e-04	
1	-5.04692614e-02	-1.85732953e-02	-3.22944899e-03	-2.92655761e-03	-4.40024973e-03	-1.12820271e-03	-1.49607066e-03	-2.79031047e-04	-1.00836158e-04	-9.89111640e-04	1.09548261e-03	-2.62513361e-03	-3.88570327e-03	-6.06279643e-04	4.71164476e-04	-2.19363361e-05	-1.53031466e-04	2.84450394e-03	-9.25827890e-04	-2.11935609e-03	6.02521871e-04	1.28399875e-03	6.09972879e-04	5.34775320e-04	1.17464200e-03	-1.01184005e-03	1.31905879e-03	1.35422018e-03	6.44852727e-04	1.42193995e-04	8.01872649e-04	2.68640846e-03	1.40593854e-03	1.83396307e-04	3.32069785e-04	2.45568156e-03	1.13994242e-03	2.78915268e-04	4.98081649e-04	1.71485142e-03	9.05802770e-04	6.34362051e-04	1.04810073e-03	2.66844531e-04	4.92993638e-04	
2	1.84643470e-01	8.81076327e-02	5.18540579e-02	2.81470636e-02	1.78397910e-02	1.17927908e-02	9.71610365e-03	7.72030965e-03	5.12194172e-03	4.91454188e-02	2.63353371e-02	1.47506622e-02	1.10972546e-02	6.62623667e-03	3.59421238e-03	3.50706123e-03	2.86542453e-03	1.15996034e-02	9.05168660e-03	6.89274430e-03	4.12451704e-03	1.85326770e-03	1.77564684e-03	1.89634385e-03	4.15855599e-03	3.90296874e-03	2.40071574e-03	1.32965005e-03	1.93123184e-03	8.93079696e-04	1.65444553e-03	1.93365703e-03	1.39694880e-03	1.44689573e-03	5.61288378e-04	1.28301501e-03	5.74304765e-04	8.58796974e-04	5.27361482e-04	8.67784476e-04	7.36584978e-04	8.57373120e-04	7.11004806e-05	3.31341591e-04	-3.01856102e-04	
3	-1.26729959e-01	-4.70156990e-02	-2.19726453e-02	-1.13469492e-02	-6.69106620e-03	-2.51978103e-03	-1.75583595e-03	-2.21869776e-03	-1.77148170e-03	-3.42940338e-02	-2.01368217e-02	-8.86953662e-03	-4.57232535e-03	-2.39652267e-03	-1.61447376e-03	-1.15929528e-03	-1.62258901e-03	-1.39485527e-02	-6.93077597e-03	-4.67101807e-03	-1.80535075e-03	-1.48004378e-03	-1.08948337e-03	-7.83976097e-04	-3.81647835e-03	-3.55429378e-03	-2.44312822e-03	-1.06753014e-03	-6.67453485e-04	-2.03914366e-04	-1.93448138e-03	-1.52005706e-03	-1.17063691e-03	-5.33601240e-04	-6.04827157e-04	-1.52951448e-03	-5.97810097e-04	-5.16359149e-04	-6.00078785e-04	-6.15111298e-04	-6.99773091e-04	-1.04275329e-03	-1.21764037e-04	-6.26738084e-04	2.27517129e-04	
4	1.03411149e-01	2.93686441e-02	1.20839910e-02	5.79956588e-03	5.19015307e-03	2.31166421e-03	9.62514217e-04	7.26705680e-04	-1.38866746e-04	3.17547158e-02	1.43696259e-02	7.40561160e-03	4.56567562e-03	2.90274400e-03	1.57461540e-03	8.06626469e-04	1.00571622e-04	1.21551547e-02	7.31251751e-03	3.92382236e-03	1.77291579e-03	6.54828018e-04	5.41261208e-04	2.48252944e-04	5.09016373e-03	3.31355272e-03	1.90817709e-03	1.02553019e-03	1.05893815e-03	2.69997289e-04	1.23614664e-03	1.56731354e-03	6.01897623e-04	5.16596444e-04	2.63470596e-04	1.64207852e-03	7.04785750e-04	2.87305544e-04	2.24392285e-04	1.22113935e-03	7.21669106e-04	7.78447834e-04	2.94685979e-04	8.41971144e-04	6.11396317e-04	
5	-8.17048452e-02	-1.82532367e-02	-5.01481692e-03	-1.88220535e-03	-1.96773698e-03	-9.91412708e-04	-4.54182085e-04	-3.51719044e-05	1.95767824e-04	-2.76528698e-02	-9.27169144e-03	-4.25440464e-03	-2.57852234e-03	-1.78145725e-03	-1.87054875e-03	-8.16428762e-04	2.02106759e-04	-1.04222277e-02	-4.65245260e-03	-3.01942248e-03	-1.86735498e-03	-5.05889396e-04	-2.12462175e-04	4.40761947e-04	-5.26954762e-03	-3.97921391e-03	-1.70011404e-03	5.44023539e-04	8.54936762e-04	5.27049918e-04	-2.75753587e-03	-1.55510567e-03	-9.81469718e-05	4.86252258e-04	4.43457088e-04	-1.25810406e-03	-3.07955269e-04	5.23475395e-04	6.07341602e-04	2.42582950e-05	4.64056636e-04	1.53712530e-04	-5.47354112e-05	-1.44211581e-05	3.11515682e-05	
