## Order: 5
## Bins: 10
## Minimum Radius = 2.00e+01
## Maximum Radius = 1.60e+02
## Format: Row 1 = radial bin 1, Row 2 = radial bin 2, Rows 3+ = zeta_ell^ab
## Column 1 specifies the angular multipole
 	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 1	 1	 1	 1	 1	 1	 1	 2	 2	 2	 2	 2	 2	 2	 3	 3	 3	 3	 3	 3	 4	 4	 4	 4	 4	 5	 5	 5	 5	 6	 6	 6	 7	 7	 8	 
	 1	 2	 3	 4	 5	 6	 7	 8	 9	 2	 3	 4	 5	 6	 7	 8	 9	 3	 4	 5	 6	 7	 8	 9	 4	 5	 6	 7	 8	 9	 5	 6	 7	 8	 9	 6	 7	 8	 9	 7	 8	 9	 8	 9	 9	
0	1.03288681e-01	4.56585689e-02	2.25834375e-02	5.15523420e-03	-1.65617560e-03	-6.55510217e-03	-6.80823196e-03	-5.90993148e-03	-5.35410663e-03	1.67747621e-02	9.35463986e-03	3.64676974e-03	9.12889247e-04	-1.40409451e-03	-3.64032929e-03	-3.91859568e-03	-3.47489657e-03	-5.31564953e-05	1.12811418e-03	4.34105254e-04	-1.37961675e-03	-2.43128217e-03	-2.69452971e-03	-2.33711712e-03	-4.66537525e-04	2.16114467e-04	-1.08860260e-03	-1.03959622e-03	-1.22207285e-03	-1.45058792e-03	-8.95098145e-04	-6.53798648e-04	-8.25066835e-04	4.84116566e-05	5.64715568e-04	-4.19986747e-04	-2.15900892e-04	2.09459197e-04	8.60361517e-04	-6.38473049e-04	3.19108721e-04	9.31289795e-04	6.82337482e-04	1.13939484e-03	1.23191613e-03	
1	-3.38239434e-02	-1.47015416e-02	-2.80937899e-03	-7.88877630e-03	-6.45599561e-03	2.08284221e-03	2.84858396e-03	-6.64926327e-04	3.72829138e-04	1.12928822e-03	-1.73183994e-03	-5.07165504e-03	-4.66037055e-03	9.06088371e-04	1.94567223e-03	-4.41377745e-04	-1.35011887e-03	2.02176069e-03	-3.39120408e-03	-3.26802071e-03	-1.73529118e-04	4.61889750e-04	1.63189866e-04	-1.20007753e-04	5.64796462e-04	-1.76620309e-03	-4.39439043e-04	7.28794138e-04	4.75864484e-04	-1.69747960e-04	4.02708609e-04	9.49345967e-04	6.74608538e-04	-7.10763225e-05	-3.90140157e-04	1.33524822e-03	5.23205831e-04	-3.47181410e-04	-3.98201688e-04	1.64968364e-03	6.39581768e-04	3.18755305e-04	1.20597742e-03	4.65965994e-04	3.25613626e-04	
2	1.84782160e-01	9.20427934e-02	5.11919106e-02	3.15690958e-02	2.05473779e-02	1.48954602e-02	1.17134813e-02	9.49481198e-03	7.52830211e-03	4.43555819e-02	2.51337586e-02	1.68147850e-02	1.07284941e-02	9.25201513e-03	6.56933748e-03	5.07798578e-03	4.36775983e-03	1.20513033e-02	9.43856907e-03	6.04670714e-03	4.38323226e-03	3.45601525e-03	2.18634351e-03	1.87894614e-03	3.69597197e-03	3.28931067e-03	2.47766868e-03	2.21436796e-03	1.38891068e-03	1.25826650e-03	-4.12865451e-04	1.21103560e-03	8.35920429e-04	1.90580885e-04	5.04746555e-04	-9.69738512e-04	-4.23928746e-04	-4.29602218e-04	1.29869403e-04	-1.10958574e-03	-2.34520880e-04	4.70717436e-04	-9.17292498e-04	-1.59168192e-04	-9.35939534e-04	
3	-1.30594552e-01	-4.87562816e-02	-2.13699000e-02	-1.28214043e-02	-7.96065847e-03	-2.97225922e-03	-2.57748393e-03	-2.94484466e-03	-2.36471624e-03	-3.58529172e-02	-1.77665728e-02	-9.57015803e-03	-5.50507436e-03	-2.83032095e-03	-2.28704628e-03	-1.10365630e-03	-1.84267843e-03	-1.15650093e-02	-7.81886916e-03	-4.62678805e-03	-2.25685228e-03	-1.85099884e-03	-6.63812512e-04	-3.79131186e-04	-2.53029991e-03	-4.18213561e-03	-2.20844735e-03	-1.30396372e-03	-1.63800770e-03	-1.04407965e-03	-1.57165755e-03	-1.22894571e-03	-8.43896921e-04	-6.85941469e-04	-3.01334797e-04	-6.11325451e-04	-2.56910798e-04	-1.21248788e-04	3.38487808e-04	4.10172175e-04	5.59194734e-05	3.84769422e-05	6.88230512e-04	2.46096551e-04	1.46645038e-03	
4	1.03746985e-01	3.24770727e-02	1.15218069e-02	5.52405975e-03	3.84718350e-03	1.22364736e-03	-4.99169615e-04	-9.82112681e-04	-2.28383762e-04	3.10796610e-02	1.25772493e-02	5.97602808e-03	3.65710096e-03	1.15412278e-03	1.50625686e-04	-3.20638632e-04	7.80288890e-04	1.19185940e-02	6.82255970e-03	3.84728986e-03	5.87975166e-04	9.17787891e-04	1.01762625e-04	-1.56048505e-04	3.33522842e-03	2.72983504e-03	1.02210111e-03	7.43725881e-04	-1.86319958e-04	-4.46804032e-04	4.04323540e-05	7.47304691e-04	6.14890846e-04	1.54424252e-04	4.62681002e-04	-8.65010747e-04	1.06340603e-04	2.52589682e-05	-1.80021534e-04	-3.45249716e-04	5.68342431e-04	1.82950982e-04	-2.84344292e-04	-3.99231239e-04	-7.88023046e-04	
5	-8.13578225e-02	-1.84846667e-02	-6.76624496e-03	-1.30498107e-03	-2.54579485e-03	-1.26973601e-03	2.95736209e-04	8.62941903e-05	-6.14694056e-06	-3.03063718e-02	-1.01750523e-02	-4.20349454e-03	-2.47641251e-03	-1.58507439e-03	-1.44002144e-04	1.60299481e-04	-8.30110172e-05	-9.95366891e-03	-5.73307741e-03	-3.24151476e-03	-9.46565017e-04	-1.07299306e-04	-5.01840520e-04	-9.52761351e-05	-4.95939683e-03	-3.71471364e-03	-1.50727182e-03	-8.70892694e-04	-2.16854222e-04	-5.52763480e-05	-1.34902819e-03	-9.91066383e-04	-6.64517038e-04	-7.56564793e-04	-6.23078135e-04	-1.89776007e-04	-5.66601710e-04	-7.24333543e-04	-4.06269742e-04	-2.30848865e-04	-8.12478539e-04	-5.08668159e-04	3.80969498e-04	-8.85269130e-04	4.55736327e-05	
