## Order: 5
## Bins: 10
## Minimum Radius = 2.00e+01
## Maximum Radius = 1.60e+02
## Format: Row 1 = radial bin 1, Row 2 = radial bin 2, Rows 3+ = zeta_ell^ab
## Column 1 specifies the angular multipole
 	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 1	 1	 1	 1	 1	 1	 1	 2	 2	 2	 2	 2	 2	 2	 3	 3	 3	 3	 3	 3	 4	 4	 4	 4	 4	 5	 5	 5	 5	 6	 6	 6	 7	 7	 8	 
	 1	 2	 3	 4	 5	 6	 7	 8	 9	 2	 3	 4	 5	 6	 7	 8	 9	 3	 4	 5	 6	 7	 8	 9	 4	 5	 6	 7	 8	 9	 5	 6	 7	 8	 9	 6	 7	 8	 9	 7	 8	 9	 8	 9	 9	
0	9.86306875e-02	3.97405390e-02	2.05429628e-02	1.00313623e-02	8.78451066e-03	7.79932383e-03	4.75846523e-03	-1.36051429e-04	-1.91965832e-03	2.64272612e-03	-2.50291750e-04	-1.80612261e-03	6.40122551e-04	1.41497439e-03	1.73928842e-03	1.02676918e-03	9.99190520e-04	-2.57180533e-03	7.41215325e-04	2.67387288e-03	2.36494635e-03	2.37469096e-03	1.66626703e-03	1.07671835e-03	5.68213232e-04	1.54574410e-03	1.29355476e-03	9.09689763e-04	8.32494325e-04	2.88287827e-04	-2.14712805e-05	3.22425187e-04	1.04732366e-03	1.12196308e-03	7.68266300e-04	2.74464424e-05	2.44393213e-05	5.63220761e-05	1.15242469e-04	1.12271037e-04	3.55389354e-04	4.20564434e-04	1.87677465e-04	4.71662000e-04	3.03620177e-04	
1	-3.96262024e-02	-1.26389551e-02	-4.21253866e-03	-2.10964225e-03	-2.25872614e-03	-2.36872044e-04	-1.96353157e-03	-1.99717530e-03	-7.66579331e-06	2.52683431e-03	-9.12546751e-04	-1.68131896e-03	-6.98840594e-04	1.01673792e-03	7.03210880e-04	-2.41864218e-04	-1.08543509e-03	2.95305317e-03	-7.12130921e-04	-9.27315761e-04	9.08539205e-04	6.64745833e-04	-4.92149000e-04	-1.41732174e-03	3.61265788e-04	-7.26897601e-04	-5.15920989e-04	-4.05561179e-04	-6.64009131e-04	-6.43746563e-04	-4.53674676e-04	-4.69632975e-04	-1.03198951e-03	-8.84557575e-04	-6.59878599e-05	-1.05482874e-03	-7.54725521e-04	-5.79579888e-04	-2.36407077e-04	-5.35360893e-05	-1.59456989e-04	-6.78505541e-05	6.75518331e-04	1.78667594e-04	-2.74902741e-04	
2	1.80919706e-01	8.47925209e-02	4.40471151e-02	2.88593249e-02	1.64698434e-02	9.62438975e-03	7.55288972e-03	6.76993983e-03	5.59568432e-03	4.71830686e-02	2.26602658e-02	1.58290244e-02	8.36207091e-03	4.00000325e-03	3.48588178e-03	2.04643720e-03	1.29312980e-03	9.51657523e-03	6.30428952e-03	4.11692782e-03	1.89690061e-03	1.41504539e-03	9.31584743e-04	3.35256193e-04	1.83248439e-03	1.94030675e-03	1.16114965e-03	1.12061058e-03	6.49561955e-04	-5.17548869e-04	5.59693187e-05	1.29656659e-03	5.64751809e-04	-2.59325960e-05	-8.62097971e-04	1.00150249e-03	1.08378480e-03	6.73224715e-04	6.48132092e-05	7.84805589e-04	4.51923548e-04	3.38232790e-04	5.30240092e-04	2.99066891e-04	1.50232019e-04	
3	-1.27599804e-01	-4.48427244e-02	-2.00726821e-02	-1.19211373e-02	-6.90998070e-03	-3.99959870e-03	-1.22860964e-03	-1.07800333e-03	-1.71531100e-03	-3.82706600e-02	-1.78076799e-02	-1.08026616e-02	-6.51301067e-03	-2.42643658e-03	-7.37446462e-04	-8.27987079e-04	-7.99874376e-04	-1.35849624e-02	-7.25088364e-03	-3.71886558e-03	-8.88260247e-04	-3.05676580e-04	-1.70120716e-04	-4.33231283e-05	-5.03753341e-03	-3.13823422e-03	-7.17645036e-04	1.70567604e-05	1.74607063e-05	1.99538061e-04	-1.30293970e-03	-5.86468011e-04	1.10412792e-06	-2.31886232e-04	8.34202835e-04	-4.32174832e-04	-4.54206435e-04	-3.23764746e-04	5.65222221e-04	-1.24555262e-03	-9.25341761e-04	-1.48937353e-04	-4.33025678e-04	-4.73466474e-04	7.66165189e-05	
4	1.02436278e-01	3.08858094e-02	1.23062784e-02	4.91901114e-03	1.45961835e-03	1.40059678e-03	4.34339863e-04	-1.18020112e-03	5.48010021e-04	3.57244924e-02	1.35125103e-02	5.89310975e-03	3.62896952e-03	9.57888759e-04	3.12457702e-04	-4.28184220e-04	2.72347400e-04	1.49070455e-02	6.66680506e-03	2.54597970e-03	7.75787145e-04	4.62064076e-04	2.02387697e-04	1.85243311e-04	4.73217260e-03	2.60224358e-03	7.02254508e-04	5.54560027e-04	8.96040653e-05	6.80899258e-04	2.65679174e-03	1.43816070e-03	4.87444786e-04	6.63149084e-04	2.53605563e-04	9.91569355e-04	9.02090191e-04	4.40968496e-04	5.30504616e-04	6.76973146e-04	4.93756673e-04	3.11485989e-04	1.55938943e-04	2.43882338e-04	-4.03381054e-04	
5	-7.96648236e-02	-1.83760476e-02	-6.21895087e-03	-2.18586245e-03	-5.48658872e-04	-1.86607625e-03	4.27261921e-04	2.14912816e-04	-1.67667777e-04	-2.90373143e-02	-1.04756671e-02	-4.18496240e-03	-2.13077118e-03	-5.80902038e-04	9.08150236e-05	8.26817722e-04	-2.85434982e-04	-1.17556619e-02	-4.66868797e-03	-2.14681952e-03	-8.54605853e-05	-1.64666281e-04	2.33118197e-04	-6.55477016e-04	-5.12459254e-03	-1.72560348e-03	-9.88539427e-05	3.05559169e-04	4.27932565e-04	-1.76934003e-04	-2.00244258e-03	-6.89821516e-04	4.03909032e-04	3.15286302e-04	-4.48245968e-04	-1.57786529e-03	-9.58998357e-05	-3.15653756e-04	-7.59691957e-04	-4.01193676e-04	-6.35533786e-04	-6.35870534e-04	-4.74544997e-04	-4.59038949e-04	-6.48046296e-05	
