## Order: 5
## Bins: 10
## Minimum Radius = 2.00e+01
## Maximum Radius = 1.60e+02
## Format: Row 1 = radial bin 1, Row 2 = radial bin 2, Rows 3+ = zeta_ell^ab
## Column 1 specifies the angular multipole
 	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 1	 1	 1	 1	 1	 1	 1	 2	 2	 2	 2	 2	 2	 2	 3	 3	 3	 3	 3	 3	 4	 4	 4	 4	 4	 5	 5	 5	 5	 6	 6	 6	 7	 7	 8	 
	 1	 2	 3	 4	 5	 6	 7	 8	 9	 2	 3	 4	 5	 6	 7	 8	 9	 3	 4	 5	 6	 7	 8	 9	 4	 5	 6	 7	 8	 9	 5	 6	 7	 8	 9	 6	 7	 8	 9	 7	 8	 9	 8	 9	 9	
0	1.02789663e-01	4.35012624e-02	2.15661627e-02	1.31073347e-02	1.13037004e-02	8.49678329e-03	3.56614349e-03	-6.59226434e-04	1.54245076e-03	7.53432951e-03	2.26994331e-03	2.32604689e-04	1.00211148e-03	2.47551594e-03	2.44827647e-03	2.69704279e-03	3.14933807e-03	-2.84131935e-03	-7.44416386e-04	5.66300737e-04	2.02070796e-03	2.40725838e-03	2.58605018e-03	2.76552867e-03	-2.06864899e-03	1.16007595e-03	1.10706421e-03	1.44465173e-03	1.21658007e-03	1.59381238e-03	-7.89084291e-04	8.09940452e-04	1.15629543e-03	1.83686032e-03	1.37490533e-03	8.87379715e-04	1.42384903e-03	1.75830387e-03	8.62230984e-04	1.58309192e-03	1.34517113e-03	6.59371095e-04	9.34644334e-04	6.53819229e-04	1.07994154e-03	
1	-3.44535755e-02	-1.32761180e-02	-2.92501865e-03	-2.83601294e-03	-5.52980961e-03	-1.34580647e-03	-7.95154792e-04	4.02368880e-05	1.56447453e-03	2.85939597e-03	2.04415050e-04	-2.55609422e-03	-1.62521465e-03	1.24995664e-03	1.03469680e-03	4.28898282e-04	2.52448420e-04	3.50096735e-03	-2.23669269e-04	-1.71880363e-06	8.92378495e-04	5.97061567e-04	5.22262086e-04	1.56798761e-04	1.27375966e-03	-5.10185285e-04	5.15100664e-04	7.82963850e-04	1.93844257e-04	1.34550191e-05	7.15849626e-04	9.63039298e-04	6.94451087e-04	2.09211373e-04	6.08159459e-04	1.85745665e-03	8.95245342e-04	4.25526422e-04	2.64068699e-04	5.55607955e-04	-2.50228351e-04	-7.03375081e-05	-5.81034526e-04	-3.53461848e-04	-4.57461030e-04	
2	1.82166330e-01	9.25221845e-02	4.95169279e-02	2.99538800e-02	1.55347230e-02	8.52639911e-03	7.69879077e-03	8.87140479e-03	5.81251432e-03	4.65307105e-02	2.53822161e-02	1.65788619e-02	1.05044978e-02	4.70812256e-03	3.56526569e-03	3.31398550e-03	2.10737483e-03	1.11532315e-02	1.02800819e-02	6.56587515e-03	2.63539981e-03	2.31792428e-03	1.83774842e-03	7.75735978e-04	2.45900892e-03	3.33944514e-03	1.93746627e-03	7.52327055e-04	-2.25617202e-04	-3.50819821e-04	1.47078525e-03	1.35009170e-03	5.62066124e-04	-4.84668122e-04	-1.01090588e-03	1.24614177e-03	8.47015278e-04	6.80625624e-05	-7.02105250e-04	6.23905014e-04	-4.35437653e-05	-5.36894131e-05	-5.67026618e-04	2.70348595e-04	3.12649654e-04	
3	-1.28606817e-01	-4.96545591e-02	-2.16525095e-02	-1.39002047e-02	-7.39749717e-03	-2.66005944e-03	-6.16420326e-04	-1.46449247e-03	-1.09714147e-03	-3.98342854e-02	-1.98020437e-02	-1.11783961e-02	-5.70225158e-03	-3.16671457e-03	-7.67812891e-05	-5.44427332e-04	-2.08943596e-04	-1.32475150e-02	-8.66194706e-03	-6.66753511e-03	-2.78688125e-03	-3.53868837e-04	-6.43891423e-04	2.46603903e-04	-4.32384591e-03	-3.57885679e-03	-1.55659222e-03	-7.87421530e-04	-4.55568442e-04	2.19603801e-05	-1.66687933e-03	-9.14212936e-04	-6.19206342e-04	-2.81750092e-04	5.22361312e-04	-9.85846142e-04	-6.93960096e-04	-6.21114291e-04	-4.77420303e-04	-1.30074891e-03	-9.97986018e-04	-9.76266271e-04	-1.91080204e-04	-4.14859255e-04	1.49918715e-04	
4	1.05993160e-01	3.14609830e-02	1.23387424e-02	6.11670792e-03	3.38344875e-03	2.22734303e-03	-2.84072313e-04	-6.57690489e-04	1.18928863e-03	3.34036008e-02	1.26119332e-02	6.58093605e-03	3.09101538e-03	2.20423958e-03	1.34639683e-03	7.14329463e-04	1.37654843e-03	1.23973921e-02	6.92482350e-03	2.64762807e-03	2.02147135e-03	5.12235707e-04	6.85293198e-04	8.40434462e-04	5.28242447e-03	2.73527714e-03	1.42856619e-03	7.80360080e-04	3.60835307e-04	2.78896921e-04	2.77949638e-03	1.51681055e-03	8.30316068e-04	2.57235509e-04	4.65379071e-05	1.22459164e-03	5.87302686e-04	5.99883008e-04	2.35110679e-04	4.48818463e-04	5.92874855e-05	-6.66315209e-05	-5.23745039e-04	-1.27932518e-04	-7.71324883e-04	
5	-8.48647119e-02	-1.76424244e-02	-5.55628029e-03	3.77161526e-04	-8.64922337e-04	-1.39718554e-03	-1.34859587e-03	6.31917775e-04	2.38595958e-04	-2.96526580e-02	-9.47190180e-03	-2.23493587e-03	-1.54050316e-03	-6.28405847e-04	6.99047654e-05	1.24786508e-03	1.88778771e-04	-1.04723224e-02	-4.51035868e-03	-1.38205330e-03	-5.53270081e-04	-4.46837139e-05	1.26634089e-03	3.44238357e-04	-5.04534092e-03	-2.65092024e-03	-1.00919354e-03	-9.72592711e-05	3.82665069e-04	5.10247779e-04	-3.00890155e-03	-1.33499214e-03	-5.55503960e-04	-7.56263363e-04	-2.95533819e-04	-1.12272073e-03	-2.25032927e-04	-7.43791398e-04	-4.89192800e-04	-6.36188746e-04	-4.72957257e-04	-4.35049246e-04	-1.32891556e-05	-4.11738967e-04	9.92162615e-05	
