## Order: 5
## Bins: 10
## Minimum Radius = 2.00e+01
## Maximum Radius = 1.60e+02
## Format: Row 1 = radial bin 1, Row 2 = radial bin 2, Rows 3+ = zeta_ell^ab
## Column 1 specifies the angular multipole
 	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 1	 1	 1	 1	 1	 1	 1	 2	 2	 2	 2	 2	 2	 2	 3	 3	 3	 3	 3	 3	 4	 4	 4	 4	 4	 5	 5	 5	 5	 6	 6	 6	 7	 7	 8	 
	 1	 2	 3	 4	 5	 6	 7	 8	 9	 2	 3	 4	 5	 6	 7	 8	 9	 3	 4	 5	 6	 7	 8	 9	 4	 5	 6	 7	 8	 9	 5	 6	 7	 8	 9	 6	 7	 8	 9	 7	 8	 9	 8	 9	 9	
0	1.34040033e-01	5.51248803e-02	2.68879088e-02	1.44514776e-02	1.14759075e-02	7.92456399e-03	1.02208857e-03	-2.40013849e-03	-2.24479308e-03	1.66704726e-02	9.75501782e-03	5.12484143e-03	4.41874682e-03	1.14824139e-03	-1.75975211e-03	-8.78292108e-04	-3.35794878e-04	1.90902511e-03	2.39520524e-03	2.37329073e-03	2.57652017e-04	1.18988119e-04	1.54684219e-03	1.23702243e-03	-4.94003084e-04	6.33293285e-04	-4.48706717e-04	2.15890946e-04	1.63259362e-03	1.01496655e-03	-1.36121247e-04	-8.07179786e-04	-9.94552102e-06	7.10099631e-04	1.30738779e-03	-9.38610050e-04	5.07306123e-04	1.27506636e-03	1.37532639e-03	5.61455890e-06	1.08470563e-03	1.44741588e-03	1.46347072e-03	1.56900043e-03	1.53817481e-03	
1	-5.11651282e-02	-2.09270919e-02	-5.88469565e-03	-3.51783209e-03	-4.52612788e-03	6.52538295e-04	-7.96618570e-04	-2.12340318e-03	6.61315513e-04	-7.10813857e-03	-3.36927724e-03	-3.02787793e-03	-2.43176215e-03	1.67783668e-03	8.00480141e-04	-1.14844055e-03	-3.98759898e-04	2.31153044e-03	-6.37755996e-04	-9.96092376e-04	1.45890471e-03	1.31339379e-03	-9.10156104e-04	-5.09742100e-04	5.80012742e-04	-1.32584375e-03	1.02471931e-03	6.97620427e-04	-1.50398718e-04	-5.05383376e-04	-4.64846601e-04	2.74275155e-04	7.37592913e-04	-2.25093030e-04	1.12570608e-04	1.09656054e-04	1.20435636e-04	-7.90802805e-04	-3.05554704e-04	5.22939523e-04	-4.63368747e-04	1.89437240e-04	3.81900386e-04	3.51855293e-04	6.20530424e-04	
2	1.80749016e-01	8.57250786e-02	4.98177904e-02	2.74879250e-02	1.75975998e-02	1.16324729e-02	1.15049067e-02	1.14902959e-02	6.88140629e-03	4.44302149e-02	2.32293899e-02	1.22377520e-02	9.95356260e-03	7.21740967e-03	6.56777156e-03	5.19283620e-03	3.23001653e-03	1.25979714e-02	9.07631756e-03	7.37531897e-03	5.90182223e-03	4.54588417e-03	2.50683889e-03	1.38700346e-03	5.06789392e-03	4.49738643e-03	2.40874091e-03	2.20370649e-03	1.02768593e-03	7.53564683e-05	1.81695938e-03	8.29157734e-04	1.11624762e-03	4.05433621e-04	-2.63436109e-04	-2.06169330e-04	-7.89653886e-05	-1.00223396e-04	-7.06178133e-04	-5.41794581e-04	-6.37752430e-05	-7.26123593e-05	-4.66192002e-04	-2.77780555e-05	-3.31502319e-04	
3	-1.21496457e-01	-4.50580283e-02	-2.06443884e-02	-1.27507509e-02	-5.84688138e-03	-2.49280222e-03	-1.96533278e-03	-2.03598531e-03	-1.79523114e-03	-3.62133951e-02	-1.94029940e-02	-8.12378015e-03	-3.86985909e-03	-2.07936544e-03	-1.94468107e-03	-1.49202757e-03	-9.04616270e-04	-1.17514915e-02	-5.82251964e-03	-3.70326042e-03	-3.78284887e-03	-2.44520983e-03	-9.46676033e-04	-7.34422484e-04	-4.05384877e-03	-4.43992614e-03	-2.47934579e-03	-1.27305260e-03	-3.01925044e-04	-5.28439283e-04	-3.02053343e-03	-1.42365036e-03	-4.66670855e-04	-8.43659014e-04	-6.85346718e-04	-1.50719330e-03	-2.16698186e-04	-7.55735702e-04	-7.75729262e-04	-2.92930939e-04	-7.50046755e-04	-9.05181930e-04	8.36880968e-04	2.36416724e-04	4.06439316e-04	
4	9.70175380e-02	3.16751680e-02	1.19938515e-02	5.69782632e-03	4.00603180e-03	1.37806647e-03	-8.60059530e-04	4.09182682e-05	9.27275342e-04	3.21546524e-02	1.37248733e-02	5.80975096e-03	1.93620122e-03	-6.98053716e-04	-2.81835199e-04	9.00134872e-04	1.08951843e-03	1.44055127e-02	6.80587563e-03	1.12675495e-03	9.29791748e-04	1.47473840e-03	1.22072865e-03	5.16978543e-04	3.85157860e-03	2.38998623e-03	1.18323313e-03	1.74462828e-03	1.51937190e-03	3.39128383e-04	1.28676849e-03	1.60264646e-03	1.21876430e-03	8.72276444e-04	4.04777749e-04	1.57278605e-03	8.46195652e-04	4.93805090e-04	8.36173929e-05	2.19979209e-04	5.23496909e-04	3.82451909e-04	-1.50046710e-05	2.97812134e-04	1.87878394e-04	
5	-8.03679449e-02	-2.07667164e-02	-8.38543513e-03	-1.69896305e-03	-8.34189709e-04	-2.15511398e-03	-1.28134783e-04	7.22293354e-04	-4.81070573e-04	-3.12097485e-02	-9.76797754e-03	-1.72795987e-03	-1.02525850e-03	-1.21501149e-03	1.82563605e-05	6.10042403e-04	-4.47947668e-04	-1.01916037e-02	-5.01800873e-03	-2.76057471e-03	-1.07524602e-03	-9.67265305e-04	-5.17699745e-04	-4.50355778e-04	-4.90701608e-03	-2.96623753e-03	-8.73438080e-04	-1.22747755e-03	-9.96923060e-04	-1.31677749e-04	-2.83680207e-03	-1.38167269e-03	-1.36743386e-03	-7.90152405e-04	-1.37724068e-05	-1.53557168e-03	-1.30290484e-03	-1.09140884e-03	-7.15177808e-04	-6.75945952e-04	-8.00771984e-04	-7.36397528e-04	1.65404076e-04	-1.04591353e-04	6.07930771e-04	
