## Order: 5
## Bins: 10
## Minimum Radius = 2.00e+01
## Maximum Radius = 1.60e+02
## Format: Row 1 = radial bin 1, Row 2 = radial bin 2, Row 3 = radial bin 3, Rows 4+ = zeta^{(disc)}_l1l2l3^abc
## Columns 1-3 specify the (l1, l2, l3) multipole triplet
			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	6	6	6	7	
			1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	5	5	5	5	6	6	6	7	7	8	2	2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	5	5	5	5	6	6	6	7	7	8	3	3	3	3	3	3	4	4	4	4	4	5	5	5	5	6	6	6	7	7	8	4	4	4	4	4	5	5	5	5	6	6	6	7	7	8	5	5	5	5	6	6	6	7	7	8	6	6	6	7	7	8	7	7	8	8	
			2	3	4	5	6	7	8	9	3	4	5	6	7	8	9	4	5	6	7	8	9	5	6	7	8	9	6	7	8	9	7	8	9	8	9	9	3	4	5	6	7	8	9	4	5	6	7	8	9	5	6	7	8	9	6	7	8	9	7	8	9	8	9	9	4	5	6	7	8	9	5	6	7	8	9	6	7	8	9	7	8	9	8	9	9	5	6	7	8	9	6	7	8	9	7	8	9	8	9	9	6	7	8	9	7	8	9	8	9	9	7	8	9	8	9	9	8	9	9	9	
0	0	0	3.15768222e-01	1.28092076e-01	5.70209718e-02	3.16903930e-02	1.67876892e-02	3.73732633e-03	-3.67168124e-03	-8.35200137e-03	1.45327338e-01	6.12049963e-02	2.92098378e-02	1.33911849e-02	3.37975335e-03	-1.26142019e-03	-3.89223527e-03	8.69778027e-02	3.74895414e-02	1.62124263e-02	5.27920687e-03	2.40183160e-04	-2.00830980e-03	5.92341046e-02	2.46497027e-02	9.69433049e-03	2.68872242e-03	-8.47392085e-04	4.28360268e-02	1.73887812e-02	6.31337205e-03	1.05968850e-03	3.20190059e-02	1.26008023e-02	4.17919163e-03	2.47339429e-02	9.59611749e-03	1.99353354e-02	6.77545602e-02	2.83205788e-02	1.53332172e-02	7.85590411e-03	1.42807305e-03	-1.29489033e-03	-2.77673616e-03	3.28867447e-02	1.50547182e-02	6.90918549e-03	1.92460139e-03	-2.68253959e-04	-1.26889181e-03	2.13971081e-02	9.10060229e-03	3.39444490e-03	7.74155060e-04	-5.41314441e-04	1.51450578e-02	6.06460935e-03	2.12057974e-03	2.32536018e-04	1.11240363e-02	4.34198211e-03	1.38151759e-03	8.56139186e-03	3.31264440e-03	6.91935212e-03	1.73065806e-02	9.11499988e-03	4.72677459e-03	8.93764401e-04	-6.14211084e-04	-1.22598695e-03	9.94728031e-03	4.49280946e-03	1.43246420e-03	1.12486213e-04	-5.08046051e-04	6.64201877e-03	2.53331288e-03	7.84172004e-04	-3.63535356e-05	4.60085516e-03	1.74950791e-03	5.09495027e-04	3.50722438e-03	1.34760496e-03	2.84469164e-03	5.59672679e-03	2.92564942e-03	6.10246825e-04	-2.96229018e-04	-6.60851140e-04	3.13235996e-03	1.02555691e-03	1.60404881e-04	-2.16297682e-04	1.76486883e-03	5.96843377e-04	9.91380978e-05	1.27236258e-03	4.68246240e-04	1.04733813e-03	2.29863692e-03	5.48737989e-04	-1.31934199e-04	-4.07748472e-04	7.73224464e-04	1.59308129e-04	-9.90618713e-05	4.22379263e-04	1.15021537e-04	3.63869350e-04	9.91572775e-04	1.52858981e-04	-1.89665287e-04	4.50993740e-04	8.70894674e-05	3.84962077e-04	2.31484575e-04	-7.26244101e-05	2.11065988e-04	-2.29925131e-04	
0	1	1	-2.70042354e-01	-9.73175515e-02	-3.98107423e-02	-1.86356327e-02	-1.06907925e-02	-8.34230234e-03	-6.20829215e-03	-2.79020796e-03	-1.79254246e-01	-7.25099810e-02	-3.34815904e-02	-1.69205339e-02	-9.83604647e-03	-7.01651509e-03	-4.27974797e-03	-1.30467818e-01	-5.60835708e-02	-2.70625820e-02	-1.41083390e-02	-7.72630730e-03	-4.96268123e-03	-9.81090601e-02	-4.37459610e-02	-2.12772961e-02	-1.08904673e-02	-6.05146175e-03	-7.54332520e-02	-3.41160209e-02	-1.69943428e-02	-8.78987489e-03	-5.96094881e-02	-2.74392688e-02	-1.36745304e-02	-4.80472723e-02	-2.22060517e-02	-3.89540754e-02	-6.21157596e-02	-2.51263926e-02	-1.16021487e-02	-5.86335798e-03	-3.40841856e-03	-2.43138545e-03	-1.48303208e-03	-4.52101292e-02	-1.94342599e-02	-9.37781323e-03	-4.88886714e-03	-2.67734493e-03	-1.71968431e-03	-3.39970681e-02	-1.51589916e-02	-7.37307729e-03	-3.77379986e-03	-2.09697205e-03	-2.61393739e-02	-1.18219936e-02	-5.88893450e-03	-3.04589581e-03	-2.06560721e-02	-9.50834394e-03	-4.73854238e-03	-1.66494958e-02	-7.69491269e-03	-1.34984919e-02	-1.85739412e-02	-7.98429042e-03	-3.85274174e-03	-2.00852182e-03	-1.09994924e-03	-7.06507942e-04	-1.39672139e-02	-6.22785697e-03	-3.02912437e-03	-1.55041222e-03	-8.61511265e-04	-1.07389915e-02	-4.85689864e-03	-2.41938533e-03	-1.25136315e-03	-8.48625467e-03	-3.90636843e-03	-1.94676302e-03	-6.84020953e-03	-3.16134589e-03	-5.54566420e-03	-5.15485963e-03	-2.29850625e-03	-1.11795459e-03	-5.72208419e-04	-3.17956729e-04	-3.96342422e-03	-1.79252863e-03	-8.92919079e-04	-4.61838806e-04	-3.13200986e-03	-1.44171780e-03	-7.18489041e-04	-2.52450634e-03	-1.16675340e-03	-2.04673034e-03	-1.44774207e-03	-6.54766928e-04	-3.26161531e-04	-1.68698436e-04	-1.14404671e-03	-5.26624302e-04	-2.62446499e-04	-9.22140509e-04	-4.26186521e-04	-7.47620607e-04	-1.31386884e-03	-6.04796342e-04	-3.01404021e-04	-1.05902292e-03	-4.89449590e-04	-8.58597307e-04	-7.87917096e-04	-3.64152364e-04	-6.38799675e-04	-2.54541495e-06	
0	2	2	2.46473257e-01	8.34618721e-02	3.05535449e-02	9.30681182e-03	2.45113631e-03	3.39919726e-03	4.45249159e-03	2.94580647e-03	1.80523081e-01	6.30467115e-02	2.43674479e-02	1.00436600e-02	4.83955002e-03	4.73105332e-03	4.74105604e-03	1.33844742e-01	5.12175167e-02	2.18828438e-02	1.02486522e-02	6.17960023e-03	5.08001601e-03	1.04587732e-01	4.27567232e-02	1.99532840e-02	1.01910485e-02	5.64718459e-03	8.44370031e-02	3.64201961e-02	1.73149202e-02	8.92580217e-03	6.88339492e-02	3.05338671e-02	1.49624302e-02	5.69819166e-02	2.60007197e-02	4.82794934e-02	6.28385156e-02	2.20995298e-02	8.66417285e-03	3.67274088e-03	1.84741120e-03	1.81836567e-03	1.81503392e-03	4.65957228e-02	1.79472391e-02	7.76686109e-03	3.70496517e-03	2.31141293e-03	1.92461706e-03	3.63899324e-02	1.49601281e-02	7.03481235e-03	3.66398582e-03	2.08551361e-03	2.94004295e-02	1.27450629e-02	6.13417014e-03	3.22008346e-03	2.39703272e-02	1.07080661e-02	5.30659146e-03	1.98544443e-02	9.11515398e-03	1.68433600e-02	1.92310825e-02	7.47871153e-03	3.28815685e-03	1.60926563e-03	1.03628107e-03	8.81084362e-04	1.50595653e-02	6.25027519e-03	2.97887635e-03	1.60302502e-03	9.56083572e-04	1.21910590e-02	5.33133547e-03	2.62590028e-03	1.42891315e-03	9.93805878e-03	4.49752914e-03	2.27972760e-03	8.23710930e-03	3.82683265e-03	7.01002296e-03	5.62323327e-03	2.37478278e-03	1.16447332e-03	6.60279124e-04	4.22988854e-04	4.59696623e-03	2.05267976e-03	1.06263735e-03	6.21769138e-04	3.75122629e-03	1.75108457e-03	9.33599660e-04	3.11678722e-03	1.49007521e-03	2.67310653e-03	1.73309075e-03	8.04472832e-04	4.45175832e-04	2.83429467e-04	1.43640632e-03	7.13371725e-04	4.13223700e-04	1.20408483e-03	6.08842310e-04	1.04910796e-03	1.59493202e-03	7.59422535e-04	4.15609260e-04	1.34274162e-03	6.59105723e-04	1.16263459e-03	9.86426084e-04	4.79758014e-04	8.64753731e-04	4.56845098e-05	
0	3	3	-1.96366924e-01	-5.48613534e-02	-2.27864123e-02	-8.40979940e-03	5.79183858e-04	1.34312675e-03	-1.47635236e-03	-1.29203048e-03	-1.62897964e-01	-5.35124307e-02	-1.90088973e-02	-5.15718508e-03	-2.93007559e-04	-7.48235391e-04	-1.92124232e-03	-1.28735711e-01	-4.37785796e-02	-1.60338696e-02	-5.35610146e-03	-1.50281126e-03	-2.07896270e-03	-1.02241958e-01	-3.72136991e-02	-1.45256267e-02	-6.05930266e-03	-3.23925353e-03	-8.33527804e-02	-3.24233464e-02	-1.42355858e-02	-6.57165864e-03	-7.02246849e-02	-2.88362669e-02	-1.31325679e-02	-5.95166459e-02	-2.52191073e-02	-5.05229793e-02	-5.64479281e-02	-1.85433001e-02	-6.58702441e-03	-1.78708441e-03	-1.01533925e-04	-2.59280942e-04	-6.65755088e-04	-4.46099139e-02	-1.51702946e-02	-5.55610824e-03	-1.85601356e-03	-5.20759006e-04	-7.20408863e-04	-3.54292131e-02	-1.28954111e-02	-5.03346703e-03	-2.09968911e-03	-1.12247658e-03	-2.88836744e-02	-1.12354426e-02	-4.93296111e-03	-2.27723235e-03	-2.43344844e-02	-9.99243623e-03	-4.55073980e-03	-2.06239002e-02	-8.73900644e-03	-1.75073858e-02	-1.83273513e-02	-6.23250068e-03	-2.28264837e-03	-7.62516882e-04	-2.13946462e-04	-2.95969777e-04	-1.45555904e-02	-5.29789698e-03	-2.06792863e-03	-8.62627530e-04	-4.61153606e-04	-1.18664485e-02	-4.61592245e-03	-2.02663720e-03	-9.35568658e-04	-9.99747823e-03	-4.10525089e-03	-1.86960699e-03	-8.47303727e-03	-3.59029702e-03	-7.19266148e-03	-5.37201090e-03	-1.95528725e-03	-7.63207460e-04	-3.18368707e-04	-1.70197301e-04	-4.37953317e-03	-1.70359189e-03	-7.47968090e-04	-3.45288985e-04	-3.68975498e-03	-1.51511907e-03	-6.90013175e-04	-3.12713173e-03	-1.32506578e-03	-2.65458527e-03	-1.59973650e-03	-6.22280510e-04	-2.73214475e-04	-1.26125633e-04	-1.34777738e-03	-5.53435992e-04	-2.52044960e-04	-1.14226485e-03	-4.84014167e-04	-9.69655167e-04	-1.54784127e-03	-6.35587955e-04	-2.89458480e-04	-1.31182248e-03	-5.55861164e-04	-1.11359065e-03	-9.76000938e-04	-4.13562828e-04	-8.28515694e-04	-3.30137336e-06	
0	4	4	1.60252112e-01	3.24931739e-02	1.06073398e-02	7.37088768e-03	1.56894767e-03	-1.79310915e-03	-4.31308640e-04	8.85288668e-04	1.34684286e-01	3.94733110e-02	1.59035530e-02	5.65285214e-03	-6.13099640e-04	-9.82244297e-04	8.50811605e-04	1.18012384e-01	3.82096941e-02	1.35177104e-02	3.87420908e-03	-1.57688749e-04	-2.55538586e-04	9.78676131e-02	3.31019354e-02	1.19959558e-02	3.37376741e-03	2.87789997e-04	8.15176446e-02	2.86964587e-02	1.06294798e-02	3.97597214e-03	6.83831245e-02	2.57518151e-02	1.05606104e-02	5.90529655e-02	2.35433794e-02	5.15701193e-02	4.66614339e-02	1.36852500e-02	5.52030727e-03	1.96127800e-03	-2.10362394e-04	-3.36237221e-04	2.99113623e-04	4.08935240e-02	1.32448272e-02	4.68911294e-03	1.34306769e-03	-5.24395253e-05	-8.61128708e-05	3.39170848e-02	1.14766869e-02	4.16203873e-03	1.17286857e-03	1.02547346e-04	2.82544256e-02	9.95107728e-03	3.68837485e-03	1.37784028e-03	2.37012540e-02	8.92933631e-03	3.66213580e-03	2.04670779e-02	8.16019083e-03	1.78709545e-02	1.67929660e-02	5.43461493e-03	1.92366797e-03	5.51870259e-04	-1.99092414e-05	-3.31230298e-05	1.39268496e-02	4.70948639e-03	1.70960713e-03	4.85793260e-04	4.63996330e-05	1.16010546e-02	4.08442130e-03	1.51629104e-03	5.68649983e-04	9.73278076e-03	3.66809087e-03	1.50713837e-03	8.40602069e-03	3.35223068e-03	7.34001629e-03	5.13042617e-03	1.72971810e-03	6.26482650e-04	1.79959745e-04	2.19402808e-05	4.27081674e-03	1.49962587e-03	5.56296264e-04	2.11785571e-04	3.58464769e-03	1.34952512e-03	5.56544987e-04	3.09636833e-03	1.23666139e-03	2.70661955e-03	1.55167934e-03	5.38878145e-04	1.97605498e-04	7.64076239e-05	1.30034985e-03	4.86295313e-04	2.01401575e-04	1.12536594e-03	4.50844497e-04	9.86762636e-04	1.49583601e-03	5.58277225e-04	2.29753633e-04	1.29413579e-03	5.16851107e-04	1.13409795e-03	9.63509273e-04	3.83411942e-04	8.43273120e-04	1.63742773e-06	
0	5	5	-1.31948367e-01	-2.24902000e-02	-3.21327562e-03	-2.55402020e-03	-2.67440367e-03	4.82686614e-04	7.62247682e-04	-1.35491149e-04	-1.14081817e-01	-2.43398803e-02	-9.45634293e-03	-5.65715369e-03	-9.32825078e-04	1.58413732e-03	4.25217401e-05	-1.02260299e-01	-3.01065775e-02	-1.18576607e-02	-4.03511010e-03	3.96842550e-04	7.70779878e-04	-9.19996678e-02	-2.92061480e-02	-1.05792651e-02	-3.22235031e-03	4.18524542e-04	-7.94543689e-02	-2.67327019e-02	-9.45943282e-03	-2.36597965e-03	-6.86212017e-02	-2.35207233e-02	-8.53864709e-03	-5.94024092e-02	-2.14373549e-02	-5.24405493e-02	-3.95319995e-02	-8.43433385e-03	-3.27684246e-03	-1.96033515e-03	-3.23245556e-04	5.48940374e-04	1.47347706e-05	-3.54355688e-02	-1.04326284e-02	-4.10895484e-03	-1.39825937e-03	1.37515161e-04	2.67093130e-04	-3.18800217e-02	-1.01206087e-02	-3.66596108e-03	-1.11661923e-03	1.45028475e-04	-2.75327842e-02	-9.26350211e-03	-3.27791318e-03	-8.19866900e-04	-2.37788402e-02	-8.15047694e-03	-2.95883954e-03	-2.05843145e-02	-7.42854137e-03	-1.81718683e-02	-1.45582015e-02	-4.28609761e-03	-1.68810590e-03	-5.74455057e-04	5.64961560e-05	1.09731429e-04	-1.30974554e-02	-4.15790872e-03	-1.50610819e-03	-4.58747193e-04	5.95828946e-05	-1.13114544e-02	-3.80577863e-03	-1.34668420e-03	-3.36830703e-04	-9.76919970e-03	-3.34850801e-03	-1.21559732e-03	-8.45677406e-03	-3.05191100e-03	-7.46565472e-03	-4.83385910e-03	-1.53455342e-03	-5.55857192e-04	-1.69309170e-04	2.19901736e-05	-4.17470229e-03	-1.40459327e-03	-4.97018810e-04	-1.24313625e-04	-3.60550455e-03	-1.23582906e-03	-4.48638761e-04	-3.12112949e-03	-1.12636442e-03	-2.75533850e-03	-1.52491679e-03	-5.13063617e-04	-1.81548832e-04	-4.54087312e-05	-1.31700275e-03	-4.51418171e-04	-1.63876782e-04	-1.14007238e-03	-4.11433415e-04	-1.00645786e-03	-1.51249846e-03	-5.18426623e-04	-1.88202629e-04	-1.30930456e-03	-4.72506534e-04	-1.15585633e-03	-9.74127595e-04	-3.51546666e-04	-8.59961521e-04	-3.42667505e-06	
1	0	1	-5.01382931e-02	-1.92392406e-02	-6.46683061e-03	-2.46037868e-03	-2.71375141e-03	-2.68364663e-03	-1.34565989e-03	-3.83084640e-04	-7.90416948e-03	-2.65680576e-03	-1.01081173e-03	-1.11490633e-03	-1.10253821e-03	-5.52845304e-04	-1.57384898e-04	-9.80543498e-04	-3.73058838e-04	-4.11476882e-04	-4.06912197e-04	-2.04037825e-04	-5.80858191e-05	-1.36269282e-04	-1.50302456e-04	-1.48635087e-04	-7.45300341e-05	-2.12173311e-05	-1.72613331e-04	-1.70698459e-04	-8.55932622e-05	-2.43668288e-05	-1.27000306e-04	-6.36817139e-05	-1.81290137e-05	-2.53751517e-07	-7.22383936e-08	6.05836985e-06	-1.38545314e-02	-5.66762286e-03	-2.65304619e-03	-1.52198568e-03	-1.18764486e-03	-8.83838294e-04	-3.97225611e-04	-2.09174145e-03	-9.79155958e-04	-5.61717076e-04	-4.38322388e-04	-3.26196933e-04	-1.46603487e-04	-3.57661757e-04	-2.05181529e-04	-1.60108463e-04	-1.19151773e-04	-5.35506734e-05	-2.35638647e-04	-1.83874941e-04	-1.36838646e-04	-6.14997280e-05	-1.36803659e-04	-1.01808475e-04	-4.57560325e-05	-4.05674618e-07	-1.82323338e-07	1.52907915e-05	-3.80982932e-03	-1.75919429e-03	-8.89040999e-04	-5.16806896e-04	-3.68662693e-04	-2.24867102e-04	-6.42590710e-04	-3.24744964e-04	-1.88776937e-04	-1.34663478e-04	-8.21384604e-05	-3.72950062e-04	-2.16798960e-04	-1.54652906e-04	-9.43310822e-05	-1.61299254e-04	-1.15062353e-04	-7.01826854e-05	-4.58487134e-07	-2.79655835e-07	2.34537120e-05	-1.07637604e-03	-5.19394795e-04	-2.70772309e-04	-1.48286065e-04	-9.52455608e-05	-5.96493687e-04	-3.10965714e-04	-1.70297628e-04	-1.09383799e-04	-2.31359679e-04	-1.26702086e-04	-8.13819640e-05	-5.04867794e-07	-3.24281423e-07	2.71962968e-05	-9.64216554e-04	-4.68978636e-04	-2.40039734e-04	-1.33381905e-04	-3.48921896e-04	-1.78590479e-04	-9.92366463e-05	-7.11626652e-07	-3.95426693e-07	3.31629904e-05	-5.59461439e-04	-2.78686647e-04	-1.44143307e-04	-1.11047827e-06	-5.74365550e-07	4.81699379e-05	-1.79299147e-06	-8.93548459e-07	7.49386410e-05	1.21692760e-04	
